CPF,Nome do Operador,Matrícula do Operador,Tipo de Atendimento,Canal de Atendimento,Tempo Médio de Atendimento (TMA) em minutos,Satisfação do Cliente (1-5),Protocolo,Data/Hora do Atendimento,Tempo de Espera em minutos,Produto/Serviço Relacionado,Resolução no Primeiro Contato?,Encaminhamento para Outro Setor,Tempo de Pós-Atendimento (minutos),Status do Atendimento
812.957.034-32,Asafe da Mota,SAC-6998,Reclamação,E-mail,7.8,3,PROTO-2025-02-5397,25/03/2025 13:59,6.9,Telefonia,Sim,Financeiro,1.5,Pendente
591.307.846-20,Antony Pinto,SAC-8701,Solicitação,Chat,12.0,1,PROTO-2025-02-9541,18/02/2025 21:27,0.8,Internet,Não,Técnico,2.4,Reaberto
716.942.835-00,Arthur Gabriel Barbosa,SAC-7484,Elogio,Chat,5.6,5,PROTO-2025-01-6785,17/01/2025 10:30,4.7,Planos,Sim,Técnico,3.2,Reaberto
519.067.284-02,Dr. Gustavo Henrique Cardoso,SAC-8376,Dúvida,WhatsApp,4.8,2,PROTO-2025-04-8163,10/03/2025 02:25,2.5,Internet,Não,Comercial,2.8,Finalizado
293.578.460-00,Bryan Oliveira,SAC-1160,Reclamação,E-mail,10.9,3,PROTO-2025-02-3695,11/01/2025 01:34,4.5,Internet,Não,Financeiro,1.6,Finalizado
982.364.017-31,Dra. Valentina Borges,SAC-1177,Dúvida,Telefone,8.2,5,PROTO-2025-03-6385,09/02/2025 17:57,2.5,Telefonia,Sim,Financeiro,2.0,Pendente
075.931.284-23,Vitor Hugo Melo,SAC-6347,Elogio,WhatsApp,8.3,3,PROTO-2025-03-5858,16/04/2025 10:44,9.4,Internet,Não,Técnico,1.9,Pendente
246.870.951-94,Marcos Vinicius Monteiro,SAC-6756,Solicitação,Chat,12.6,2,PROTO-2025-02-8116,07/01/2025 03:51,8.8,Telefonia,Sim,Comercial,3.1,Finalizado
596.278.130-95,Pedro Carvalho,SAC-5698,Reclamação,E-mail,10.5,2,PROTO-2025-03-9970,15/03/2025 18:00,8.8,Internet,Sim,Comercial,4.0,Pendente
754.389.106-93,Cauã da Luz,SAC-1130,Dúvida,Telefone,4.2,4,PROTO-2025-02-5195,04/03/2025 18:51,7.7,TV por Assinatura,Não,Financeiro,1.5,Finalizado
693.845.712-37,Kaique Azevedo,SAC-8348,Reclamação,Telefone,8.4,1,PROTO-2025-04-1852,31/03/2025 07:47,9.7,TV por Assinatura,Não,Comercial,2.8,Pendente
091.765.423-43,Yuri Pereira,SAC-2703,Dúvida,WhatsApp,6.6,1,PROTO-2025-02-4209,20/02/2025 00:15,3.1,Telefonia,Não,Financeiro,3.3,Reaberto
736.195.024-80,Ana Júlia Souza,SAC-5575,Solicitação,WhatsApp,14.0,2,PROTO-2025-02-8098,15/03/2025 13:04,0.9,Internet,Sim,Técnico,3.4,Reaberto
619.078.452-67,Julia Duarte,SAC-4547,Solicitação,E-mail,8.8,2,PROTO-2025-04-9216,12/02/2025 12:53,4.7,Telefonia,Sim,Nenhum,3.6,Pendente
694.051.387-66,Ana Beatriz Sales,SAC-2446,Reclamação,E-mail,14.5,5,PROTO-2025-03-8251,25/02/2025 14:46,5.1,Telefonia,Não,Técnico,1.2,Reaberto
837.401.925-50,Isabel Farias,SAC-1857,Dúvida,Chat,12.3,2,PROTO-2025-04-1846,07/03/2025 00:54,9.9,Internet,Não,Técnico,4.2,Finalizado
943.675.812-09,Dr. Matheus Correia,SAC-9285,Solicitação,Telefone,3.4,1,PROTO-2025-03-8664,25/01/2025 17:11,8.0,TV por Assinatura,Sim,Financeiro,4.0,Reaberto
839.506.472-10,Levi Campos,SAC-5478,Elogio,Chat,9.8,4,PROTO-2025-03-3897,16/01/2025 07:38,9.6,TV por Assinatura,Sim,Técnico,3.8,Reaberto
463.901.857-66,Dra. Maysa Monteiro,SAC-9822,Elogio,Chat,8.6,1,PROTO-2025-02-9667,21/03/2025 18:53,7.9,Internet,Não,Técnico,1.7,Reaberto
957.083.624-56,Giovanna Araújo,SAC-5860,Solicitação,E-mail,9.5,2,PROTO-2025-01-9990,06/01/2025 07:21,6.8,TV por Assinatura,Não,Financeiro,1.0,Finalizado
163.758.092-40,Hellena Fogaça,SAC-6331,Solicitação,Chat,14.7,2,PROTO-2025-03-5325,07/04/2025 04:36,9.2,Internet,Não,Financeiro,2.2,Finalizado
623.184.750-08,Isaque Pereira,SAC-1701,Dúvida,E-mail,14.5,4,PROTO-2025-04-6191,11/02/2025 12:31,6.8,Internet,Sim,Técnico,1.2,Reaberto
869.214.503-33,Natália Cardoso,SAC-9468,Reclamação,E-mail,13.6,3,PROTO-2025-02-5257,05/04/2025 19:26,8.3,Internet,Sim,Comercial,4.9,Reaberto
043.879.562-83,Sra. Elisa da Rocha,SAC-2432,Dúvida,Chat,5.8,3,PROTO-2025-02-6402,15/01/2025 01:15,1.4,Telefonia,Sim,Comercial,1.4,Reaberto
985.713.604-48,Daniel Gomes,SAC-1836,Dúvida,Telefone,8.7,5,PROTO-2025-02-5152,19/03/2025 16:14,1.9,Telefonia,Sim,Técnico,4.9,Pendente
